"Photon energy, eV","n","k"
0.9684918923726464,2.259115,0.019583
0.971074673301993,2.25944,0.019561
0.9736714531954869,2.259769,0.019538
0.9762825344997383,2.260102,0.019514
0.9789080348312716,2.260438,0.019489
0.9815479790755329,2.260779,0.019464
0.9842026773382491,2.261124,0.019436
0.9868719668087126,2.261472,0.019408
0.9895563527259643,2.261826,0.019379
0.9922555758092099,2.262183,0.019349
0.9949701498379951,2.262545,0.019317
0.9977000092531556,2.262911,0.019285
1.0004452834394137,2.263282,0.019251
1.0032062022775265,2.263658,0.019216
1.0059829005648757,2.264038,0.01918
1.008775413696311,2.264424,0.019143
1.01158417750947,2.264814,0.019105
1.014409031898544,2.265209,0.019065
1.0172501146055817,2.26561,0.019024
1.0201078738182154,2.266016,0.018982
1.0229822497352756,2.266427,0.018939
1.0258733884184443,2.266844,0.018894
1.0287816433754213,2.267267,0.018848
1.0317068551422175,2.267695,0.018801
1.034649591120214,2.26813,0.018752
1.0376095868699178,2.26857,0.018703
1.0405874207917325,2.269017,0.018651
1.0435829318860579,2.26947,0.018599
1.0465964934483407,2.269929,0.018545
1.0496282697297852,2.270396,0.01849
1.0526783170461578,2.270868,0.018433
1.0557469087292026,2.271348,0.018375
1.0588342168443345,2.271835,0.018316
1.06194041104144,2.272329,0.018255
1.0650656648584553,2.27283,0.018193
1.0682102671676195,2.27334,0.018129
1.0713742839469445,2.273857,0.018064
1.0745578961817206,2.274381,0.017998
1.077761400474167,2.274914,0.01793
1.0809848665834931,2.275455,0.01786
1.0842287155636543,2.276005,0.01779
1.0874929062022385,2.276564,0.017718
1.0907778652446833,2.277131,0.017644
1.094083790056779,2.277708,0.017569
1.0974106454497528,2.278294,0.017492
1.1007587487679704,2.278889,0.017414
1.104128544714779,2.279494,0.017335
1.1075200027596819,2.28011,0.017254
1.1109334524843715,2.280735,0.017172
1.1143689867702373,2.281372,0.017089
1.1178270661275151,2.282018,0.017004
1.121307787814391,2.282676,0.016918
1.1248114999222436,2.283346,0.01683
1.1283383040147335,2.284027,0.016741
1.131888429626532,2.28472,0.016651
1.135462235167802,2.285425,0.01656
1.139059957675822,2.286143,0.016467
1.142681836309457,2.286874,0.016373
1.1463279862446074,2.287617,0.016278
1.1499990410483896,2.288375,0.016182
1.153694864996072,2.289146,0.016084
1.1574158387060245,2.289932,0.015986
1.1611624854960827,2.290732,0.015887
1.1649348027996858,2.291547,0.015787
1.168733056841431,2.292377,0.015685
1.1725576483903508,2.293223,0.015584
1.1764089887634943,2.294086,0.015481
1.180287083237716,2.294965,0.015378
1.1841924890701065,2.295861,0.015274
1.1881253535468683,2.296775,0.01517
1.192085967531678,2.297707,0.015065
1.1960747656259059,2.298657,0.01496
1.2000920486661728,2.299626,0.014855
1.2041381206172865,2.300615,0.01475
1.2082131485000354,2.301624,0.014645
1.2123176614580562,2.302654,0.014541
1.2164520498788711,2.303704,0.014436
1.2206163478192742,2.304777,0.014333
1.2248112479070439,2.305872,0.01423
1.2411919287214028,2.310292,0.013846
1.243145039989333,2.310834,0.013802
1.2451045390094604,2.311382,0.013759
1.247070147307099,2.311935,0.013716
1.2490422017793368,2.312494,0.013673
1.2510206571476916,2.313058,0.013631
1.2530055446088613,2.313627,0.01359
1.254996974323515,2.314202,0.013549
1.2569946651503103,2.314782,0.013509
1.2589990391434238,2.315369,0.013469
1.261009814318037,2.31596,0.013429
1.2630273379024024,2.316558,0.013391
1.265051326322028,2.317162,0.013353
1.2670820502603766,2.317771,0.013315
1.2691193835657408,2.318387,0.013279
1.2711633585531983,2.319009,0.013243
1.2732141672619501,2.319636,0.013208
1.275271602623325,2.320271,0.013174
1.2773360218507757,2.320911,0.01314
1.2794071343899445,2.321558,0.013108
1.2814852973546582,2.322212,0.013076
1.2835702224948249,2.322872,0.013045
1.2856620241932963,2.323538,0.013016
1.287760901038614,2.324212,0.012987
1.2898668044035146,2.324893,0.012959
1.291979688834312,2.32558,0.012933
1.294099672842546,2.326274,0.012908
1.2962267082312782,2.326976,0.012883
1.298360911813703,2.327685,0.012861
1.3005024058078065,2.328401,0.012839
1.3026510592462193,2.329125,0.012819
1.3048068229504686,2.329856,0.0128
1.306970071194866,2.330595,0.012783
1.3091405042794726,2.331342,0.012767
1.3113184964659141,2.332096,0.012752
1.31350366281348,2.332858,0.01274
1.3156963794931973,2.333629,0.012728
1.3178965161559637,2.334407,0.012719
1.3201041934516042,2.335194,0.012711
1.322319365576518,2.33599,0.012706
1.3245422433903107,2.336793,0.012702
1.3267726953295162,2.337606,0.0127
1.3290108442175075,2.338427,0.0127
1.3312565584153062,2.339257,0.012702
1.333510135945914,2.340096,0.012706
1.335771533228036,2.340945,0.012712
1.3380407014834803,2.341802,0.012721
1.3403176793828975,2.342669,0.012732
1.3426025989021442,2.343546,0.012746
1.344895589171853,2.344432,0.012762
1.3471964250980328,2.345328,0.01278
1.349505415819447,2.346233,0.012802
1.3518222450845698,2.347149,0.012826
1.354147403963525,2.348076,0.012852
1.3564806657848298,2.349012,0.012882
1.3588221638164666,2.349959,0.012915
1.3611717609046232,2.350917,0.012951
1.3635297705628369,2.351886,0.01299
1.3658960559288786,2.352865,0.013032
1.3682707542609902,2.353857,0.013078
1.3706538150219167,2.354859,0.013127
1.3730453782516767,2.355873,0.013179
1.3754453003041294,2.356898,0.013236
1.3778540017609344,2.357936,0.013296
1.380271152792652,2.358985,0.013359
1.3826969891477288,2.360047,0.013427
1.3851314617586774,2.361122,0.013499
1.3875748062764242,2.362209,0.013576
1.390026786049451,2.363309,0.013656
1.3924876377358377,2.364422,0.013741
1.3949573138137952,2.365549,0.013831
1.3974359579069549,2.366689,0.013925
1.399923522508335,2.367843,0.014024
1.4024201526211162,2.369011,0.014128
1.4049258978698187,2.370193,0.014237
1.4074407107824087,2.37139,0.014351
1.4099647400755322,2.372602,0.014471
1.4124979351043956,2.373829,0.014596
1.4150403491108228,2.375071,0.014727
1.4175921281348376,2.376329,0.014863
1.4201532263922716,2.377603,0.015006
