"Photon energy, eV",n,k
1.208213149,1.68,0
1.204138121,1.68,0
1.200092049,1.68,0
1.196074766,1.68,0
1.192085968,1.68,0
1.188125354,1.68,0
1.184192489,1.68,0
1.180287083,1.68,0
1.176408989,1.68,0
1.172557648,1.68,0
1.168733057,1.68,0
1.164934803,1.68,0
1.161162485,1.68,0
1.157415839,1.68,0
1.153694865,1.68,0
1.149999041,1.68,0
1.146327986,1.68,0
1.142681836,1.68,0
1.139059958,1.68,0
1.135462235,1.68,0
1.13188843,1.68,0
1.128338304,1.68,0
1.1248115,1.68,0
1.121307788,1.68,0
1.117827066,1.68,0
1.114368987,1.68,0
1.110933452,1.68,0
1.107520003,1.68,0
1.104128545,1.68,0
1.100758749,1.68,0
1.097410645,1.68,0
1.09408379,1.68,0
1.090777865,1.68,0
1.087492906,1.68,0
1.084228716,1.68,0
1.080984867,1.68,0
1.0777614,1.68,0
1.074557896,1.68,0
1.071374284,1.68,0
1.068210267,1.68,0
1.065065665,1.68,0
1.061940411,1.68,0
1.058834217,1.68,0
1.055746909,1.68,0
1.052678317,1.68,0
1.04962827,1.68,0
1.046596493,1.68,0
1.043582932,1.68,0
1.040587421,1.68,0
1.037609587,1.68,0
1.034649591,1.68,0
1.031706855,1.68,0
1.028781643,1.68,0
1.025873388,1.68,0
1.02298225,1.68,0
1.020107874,1.68,0
1.017250115,1.68,0
1.014409032,1.68,0
1.011584178,1.68,0
1.008775414,1.68,0
1.005982901,1.68,0
1.003206202,1.68,0
1.000445283,1.68,0
0.997700009,1.68,0
0.99497015,1.68,0
0.992255576,1.68,0
0.989556353,1.68,0
0.986871967,1.68,0
0.984202677,1.68,0
0.981547979,1.68,0
0.978908035,1.68,0
0.976282534,1.68,0
0.973671453,1.68,0
0.971074673,1.68,0
0.968491892,1.68,0
0.965923181,1.68,0
0.963368425,1.68,0
0.960827329,1.68,0
0.958299875,1.68,0
0.955785863,1.68,0
0.953285275,1.68,0
0.950798004,1.68,0
0.948323768,1.68,0
0.945862727,1.68,0
0.943414603,1.68,0
